Date,Team,Total_Deposit,Deposit_Target,Deposit_Retention,Performing_Loans,Non_Performing_Loans,Customers,New_Customers,Net_Interest_Income,Fee_Income,Budget_Gap,MoM_Growth,Percent_Achieved,Performance_Status
2025-11-01,VI1,7684395692.6,9551213708.0,0.9385,4122676898.31,251904283.17,188,12,84763872.94,32974098.91,-1866818015.4,4.15,80.45,Below Target
2025-12-01,VI1,7704352372.82,9837750119.24,0.9054,5178073222.36,248223965.49,152,18,105351452.77,24325175.87,-2133397746.42,0.26,78.31,Below Target
2026-01-01,VI1,8133233398.32,10132882622.82,0.9377,5259376905.66,297600399.62,168,9,97090570.01,29271976.81,-1999649224.49,5.57,80.27,Below Target
2026-02-01,VI1,8310733643.53,10436869101.5,0.9049,4788199286.77,142126590.35,178,10,109868797.48,22457641.36,-2126135457.97,2.18,79.63,Below Target
2026-03-01,VI1,8315204615.46,10749975174.55,0.8923,4420712685.86,255846104.75,164,12,82573173.62,37196231.49,-2434770559.08,0.05,77.35,Below Target
2026-04-01,VI1,7983093611.59,11072474429.78,0.8607,5189393483.29,326360660.86,162,11,125672451.83,28873320.83,-3089380818.19,-3.99,72.1,Below Target
2026-05-01,VI1,8765046628.75,11404648662.68,0.9044,4713768425.74,210729037.14,176,11,86971036.49,23995505.72,-2639602033.93,9.8,76.86,Below Target
2026-06-01,VI1,8636230916.39,11746788122.56,0.881,5521722612.73,266891085.39,177,13,112011990.13,36593422.58,-3110557206.17,-1.47,73.52,Below Target
2025-01-01,VI2,6248628068.55,6386000000.0,0.9104,3323066961.37,156696468.99,145,13,76547475.86,24316519.74,-137371931.45,6.09,97.85,Near Target
2025-02-01,VI2,6860465576.91,6577580000.0,0.8831,4208829015.68,256933524.68,186,9,85098522.05,19732361.42,282885576.91,9.79,104.3,Above Target
2025-03-01,VI2,6049935434.9,6774907400.0,0.8916,3710939513.01,104312229.26,155,17,75986017.33,24971653.24,-724971965.1,-11.81,89.3,Below Target
2025-04-01,VI2,6438423048.07,6978154622.0,0.9272,4286369517.75,248187180.56,127,17,109138802.83,27248229.03,-539731573.93,6.42,92.27,Near Target
2025-05-01,VI2,6981148662.69,7187499260.66,0.8936,4732968733.38,146800956.04,122,16,121918033.35,29210786.44,-206350597.97,8.43,97.13,Near Target
2025-06-01,VI2,6682762240.7,7403124238.48,0.9533,3918578782.27,140819155.6,155,12,94641120.23,29334195.09,-720361997.78,-4.27,90.27,Near Target
2025-07-01,VI2,6574014755.86,7625217965.63,0.9318,3892389080.04,117419274.89,159,13,77182737.52,25266577.31,-1051203209.78,-1.63,86.21,Below Target
2025-08-01,VI2,6281849863.14,7853974504.6,0.9547,3380698208.03,175332907.16,186,12,74920694.27,26411177.14,-1572124641.46,-4.44,79.98,Below Target
2025-09-01,VI2,7092337825.23,8089593739.74,0.9714,4682819430.04,192647981.97,172,16,110667377.09,20751672.12,-997255914.51,12.9,87.67,Below Target
2025-10-01,VI2,6880343138.68,8332281551.93,0.8484,4009582212.02,170403221.92,158,14,88659544.72,27984461.11,-1451938413.25,-2.99,82.57,Below Target
2025-11-01,VI2,7093477160.14,8582249998.49,0.8617,4667353286.75,293953760.32,134,11,101155949.41,31637370.28,-1488772838.35,3.1,82.65,Below Target
2025-12-01,VI2,6349774425.17,8839717498.45,0.9069,3945395108.39,136533651.69,173,9,76757822.31,20264254.61,-2489943073.27,-10.48,71.83,Below Target
2026-01-01,VI2,7008027870.16,9104909023.4,0.9434,4392696610.32,140095371.82,159,9,85288965.82,18763329.33,-2096881153.24,10.37,76.97,Below Target
2026-02-01,VI2,7194112349.57,9378056294.1,0.8738,3978440494.05,157430050.99,206,12,72863136.97,29487377.32,-2183943944.53,2.66,76.71,Below Target
2026-03-01,VI2,7226689495.49,9659397982.92,0.9175,4767971572.27,294827026.4,170,11,116575046.57,28881604.63,-2432708487.43,0.45,74.82,Below Target
2026-04-01,VI2,7415884519.04,9949179922.41,0.8898,4295840482.99,190653350.26,147,16,93220931.56,29626027.61,-2533295403.37,2.62,74.54,Below Target
2026-05-01,VI2,7800610053.51,10247655320.08,0.9209,4694940619.68,217303164.14,174,9,104513782.67,23284360.83,-2447045266.58,5.19,76.12,Below Target
2026-06-01,VI2,7470286261.19,10555084979.69,0.8602,3908538870.7,148067829.29,167,8,74098459.25,31980703.07,-3084798718.5,-4.23,70.77,Below Target
2025-01-01,Abibu Oki,6036584756.2,5871000000.0,0.9409,3901247924.26,175313061.86,146,9,88537764.19,24091279.02,165584756.2,11.48,102.82,Above Target
2025-02-01,Abibu Oki,5652265423.69,6047130000.0,0.9033,3195814298.79,126309101.25,163,17,66628809.45,25282755.62,-394864576.31,-6.37,93.47,Near Target
2025-03-01,Abibu Oki,5714577251.54,6228543900.0,0.9297,3064643179.22,95354428.21,137,10,59737668.09,17544839.86,-513966648.46,1.1,91.75,Near Target
2025-04-01,Abibu Oki,6121742925.82,6415400217.0,0.8809,3585281341.01,230516182.53,146,9,92341658.18,25901181.56,-293657291.18,7.13,95.42,Near Target
2025-05-01,Abibu Oki,6039285430.38,6607862223.51,0.9364,3305554650.48,171048334.47,154,14,74615959.58,18479960.9,-568576793.13,-1.35,91.4,Near Target
2025-06-01,Abibu Oki,6025498725.22,6806098090.22,0.93,3445311949.33,144763248.56,125,12,65180804.56,22422327.39,-780599365.0,-0.23,88.53,Below Target
2025-07-01,Abibu Oki,6277826983.16,7010281032.92,0.8518,3419520018.31,151298728.85,145,12,70759560.87,17382231.63,-732454049.76,4.19,89.55,Below Target
2025-08-01,Abibu Oki,6317887394.34,7220589463.91,0.8898,3542708002.31,185142305.96,168,16,77133997.94,20998647.53,-902702069.57,0.64,87.5,Below Target
2025-09-01,Abibu Oki,6204559382.33,7437207147.83,0.9029,4050951269.17,257644861.27,167,10,103326494.56,17760341.1,-1232647765.49,-1.79,83.43,Below Target
2025-10-01,Abibu Oki,6118006345.19,7660323362.26,0.9046,3743704123.75,219654917.62,169,10,73425338.46,17297512.06,-1542317017.07,-1.39,79.87,Below Target
2025-11-01,Abibu Oki,6254916282.54,7890133063.13,0.8953,3918276935.21,179937530.96,180,11,82830653.74,25852812.97,-1635216780.59,2.24,79.28,Below Target
2025-12-01,Abibu Oki,5844153249.45,8126837055.02,0.8747,3471595141.37,128640357.08,167,17,68937900.26,25124886.45,-2282683805.57,-6.57,71.91,Below Target
2026-01-01,Abibu Oki,6644471932.09,8370642166.67,0.8326,4418809964.45,220805812.17,142,15,84461913.94,27162936.0,-1726170234.58,13.69,79.38,Below Target
2026-02-01,Abibu Oki,6785843583.26,8621761431.67,0.9895,4499169103.11,254400515.88,162,9,89929001.14,27061215.31,-1835917848.41,2.13,78.71,Below Target
2026-03-01,Abibu Oki,6827747926.22,8880414274.62,0.8933,4383369035.3,263311719.62,191,10,82780160.48,28628095.57,-2052666348.41,0.62,76.89,Below Target
2026-04-01,Abibu Oki,6881197584.85,9146826702.86,0.8757,4456038255.39,138122468.04,188,9,105876771.41,26026721.05,-2265629118.01,0.78,75.23,Below Target
2026-05-01,Abibu Oki,7131394279.7,9421231503.95,0.9757,3995633564.37,155141819.7,144,16,86689451.33,31339387.68,-2289837224.25,3.64,75.69,Below Target
2026-06-01,Abibu Oki,7123722292.05,9703868449.07,0.8706,4280945265.32,211727716.2,180,14,100915607.14,30952564.54,-2580146157.02,-0.11,73.41,Below Target
2025-01-01,Marina,4958900309.7,5253000000.0,0.9265,3035869205.48,149573031.17,173,10,77338574.07,21576854.74,-294099690.3,2.35,94.4,Near Target
2025-02-01,Marina,5066040550.0,5410590000.0,0.9056,3432620357.88,201000254.94,148,15,78024159.22,16707829.13,-344549450.0,2.16,93.63,Near Target
2025-03-01,Marina,5346475519.13,5572907700.0,0.8951,3466957079.29,87316287.98,130,7,77310247.35,23202159.87,-226432180.87,5.54,95.94,Near Target
2025-04-01,Marina,5221187207.47,5740094931.0,0.8647,3331118481.02,143533623.64,146,7,63713824.05,14894866.97,-518907723.53,-2.34,90.96,Near Target
2025-05-01,Marina,4994343303.32,5912297778.93,0.9081,3328107237.66,131446111.28,186,15,60254568.32,19113725.12,-917954475.61,-4.34,84.47,Below Target
2025-06-01,Marina,5467294800.85,6089666712.3,0.8713,2917654383.89,189282740.84,201,12,54083426.74,21868746.96,-622371911.45,9.47,89.78,Below Target
2025-07-01,Marina,5532294725.95,6272356713.67,0.9049,3058376129.68,99787194.17,156,10,68870743.45,14557775.93,-740061987.71,1.19,88.2,Below Target
2025-08-01,Marina,5411794713.78,6460527415.08,0.9626,3268196049.16,139324863.96,181,5,62886373.35,15498602.17,-1048732701.3,-2.18,83.77,Below Target
2025-09-01,Marina,5173475987.73,6654343237.53,0.8828,3223282101.31,133280674.05,177,15,58717782.04,15230425.27,-1480867249.8,-4.4,77.75,Below Target
2025-10-01,Marina,5595313575.95,6853973534.66,0.8705,2927208921.81,85370125.85,153,13,67975554.44,16653698.64,-1258659958.7,8.15,81.64,Below Target
2025-11-01,Marina,5473858537.15,7059592740.69,0.8969,3478980361.08,206052557.33,158,15,81215687.06,15928756.41,-1585734203.55,-2.17,77.54,Below Target
2025-12-01,Marina,5747520939.11,7271380522.92,0.8992,3000667500.76,85279994.3,172,8,64128454.64,24630101.05,-1523859583.81,5.0,79.04,Below Target
2026-01-01,Marina,5671643995.13,7489521938.6,0.9467,3184672054.81,127984633.44,140,13,73225773.67,18823184.27,-1817877943.47,-1.32,75.73,Below Target
2026-02-01,Marina,5507156815.84,7714207596.76,0.9694,3123188602.59,196567657.4,161,13,77916509.12,19136612.13,-2207050780.92,-2.9,71.39,Below Target
2026-03-01,Marina,6118136532.92,7945633824.66,0.9153,3597673281.28,93175321.24,178,6,82990500.39,18450925.47,-1827497291.74,11.09,77.0,Below Target
2026-04-01,Marina,6252741853.89,8184002839.4,0.9036,4236259798.64,194984902.4,165,9,76875937.85,27065603.46,-1931260985.51,2.2,76.4,Below Target
2026-05-01,Marina,6332821062.39,8429522924.59,0.8758,3570753780.26,168422172.4,195,13,70170204.34,15971321.89,-2096701862.2,1.28,75.13,Below Target
2026-06-01,Marina,6368568202.52,8682408612.32,0.9444,3923564678.5,202461693.21,145,8,86912221.65,16519632.43,-2313840409.8,0.56,73.35,Below Target
